IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmount
139.0,1,0.75,F,7,1,61,50,B12,'Regular',27000,R11,303.0
190.0,1,0.14,B,12,5,50,60,B12,'Diesel',56,R25,1981.84
414.0,1,0.14,E,4,0,36,85,B12,'Regular',4792,R11,1456.55
424.0,2,0.62,F,10,0,51,100,B12,'Regular',27000,R11,989.64
424.0,2,0.62,F,10,0,51,100,B12,'Regular',27000,R11,9844.36
463.0,1,0.31,A,5,0,45,50,B12,'Regular',12,R73,3986.67
606.0,1,0.84,D,10,6,54,50,B12,'Diesel',583,R93,1840.14
622.0,1,0.75,D,5,0,34,64,B12,'Regular',1565,R31,1397.97
811.0,1,0.76,E,5,0,44,50,B12,'Regular',3317,R93,971.98
830.0,1,0.68,E,4,10,24,105,B1,'Regular',3064,R11,1442.75
975.0,1,0.73,D,9,0,60,50,B12,'Regular',570,R93,637.41
1226.0,1,0.79,B,7,7,28,80,B12,'Diesel',65,R21,3048.98
1301.0,1,0.05,D,6,0,76,50,B12,'Regular',543,R91,4573.47
1323.0,1,0.62,E,8,4,67,72,B12,'Regular',2674,R93,384.77
1349.0,1,0.36,C,5,0,39,57,B12,'Diesel',177,R93,185.98
1534.0,1,0.62,B,4,0,47,50,B12,'Regular',79,R91,671.05
1552.0,2,0.59,D,11,0,39,56,B12,'Diesel',778,R22,995.2
1552.0,2,0.59,D,11,0,39,56,B12,'Diesel',778,R22,1845.74
1669.0,1,0.5,D,9,0,35,67,B12,'Regular',1139,R11,724.03
1671.0,1,0.73,E,6,0,74,50,B12,'Regular',3132,R11,3401.9
1741.0,1,0.65,E,6,8,49,100,B1,'Regular',9082,R11,2975.68
1870.0,1,0.11,C,5,0,52,50,B12,'Regular',428,R73,1692.29
1963.0,1,0.1,E,9,0,78,50,B12,'Regular',2580,R72,422.05
1967.0,1,0.75,F,10,8,50,51,B12,'Regular',27000,R11,76.22
2058.0,1,0.55,C,9,1,51,70,B12,'Regular',480,R22,704.18
2085.0,2,0.69,C,9,0,50,50,B12,'Regular',353,R72,1469.88
2085.0,2,0.69,C,9,0,50,50,B12,'Regular',353,R72,382.4
2199.0,1,0.12,A,5,0,49,50,B12,'Diesel',23,R52,564.35
2222.0,1,0.73,E,5,0,22,100,B12,'Regular',4408,R11,3365.37
2284.0,1,0.6,C,6,0,35,72,B12,'Regular',495,R91,1761.37
2311.0,1,0.72,E,5,0,47,50,B12,'Regular',5936,R11,553.09
2375.0,1,0.72,E,5,1,52,50,B12,'Regular',3430,R93,631.36
2540.0,1,0.15,E,7,2,71,60,B12,'Regular',2201,R11,6467.65
2606.0,1,0.01,E,7,0,45,60,B12,'Diesel',6570,R11,1322.75
2689.0,1,0.7,F,7,5,32,100,B12,'Regular',15725,R11,885.28
2776.0,2,0.57,E,12,9,53,100,B12,'Regular',3110,R11,679.09
2776.0,2,0.57,E,12,9,53,100,B12,'Regular',3110,R11,8561.02
2869.0,1,0.57,D,4,0,48,50,B12,'Regular',726,R91,1878.72
